지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일조시간(hr)
90,속초,2005-01,-.1,9.8,-9.6,28.4,204.6
90,속초,2005-02,-.8,7.3,-13.1,52.4,165.1
90,속초,2005-03,4.2,18.1,-7.9,102.5,223.2
90,속초,2005-04,12.8,32,.4,47.9,221.9
90,속초,2005-05,14.4,29.7,6,122.7,219.6
90,속초,2005-06,20.6,33.2,12.6,151.2,174.2
90,속초,2005-07,24,34.4,17.4,185.2,166.4
90,속초,2005-08,25,36,16.6,246.9,168
90,속초,2005-09,20,32.2,13.3,263.9,131
90,속초,2005-10,15,27.7,4.5,114.8,174.4
90,속초,2005-11,9.8,22.4,-.7,32.9,192.5
90,속초,2005-12,-1.4,11.6,-13.1,.4,195.2
90,속초,2006-01,.2,8.3,-9.6,37.1,145
90,속초,2006-02,1.5,16.1,-11.9,18.3,171
90,속초,2006-03,6,18.9,-6.4,9.3,216.8
90,속초,2006-04,9.5,25.6,1.9,90.2,137.9
90,속초,2006-05,14.4,29.8,3.8,141.7,154.9
90,속초,2006-06,18.4,30.8,12.1,129,102.4
90,속초,2006-07,21,32.6,15,545,46.6
90,속초,2006-08,25.2,33,16.7,109.3,171
90,속초,2006-09,19.1,27.4,10.9,112.4,133.5
90,속초,2006-10,17.1,29.3,8.4,285.5,150
90,속초,2006-11,8.5,20.6,-.8,84,147.6
90,속초,2006-12,2,11.3,-11.2,47.4,172
90,속초,2007-01,.7,8.9,-7.8,23.3,171.3
90,속초,2007-02,4.1,18.8,-8.6,7.2,154.6
90,속초,2007-03,6.6,19,-6,112.6,181.9
90,속초,2007-04,11.7,27.6,1.9,27.4,180.2
90,속초,2007-05,17.1,30.3,7.2,102.1,199.3
90,속초,2007-06,20.3,30.5,12.1,52.3,209.3
90,속초,2007-07,22.1,34.5,16.9,212.8,88.2
90,속초,2007-08,24.9,35.3,18.6,206.8,139.1
90,속초,2007-09,20.7,30,13,397.8,78
90,속초,2007-10,15.3,27.8,4.5,87.3,152.9
90,속초,2007-11,8.4,19.9,-4.1,33.9,166.4
90,속초,2007-12,3.5,11.8,-6.8,1.2,171.1
90,속초,2008-01,.3,10.7,-9.5,71.1,161.5
90,속초,2008-02,1.3,12.8,-9.8,.6,216
90,속초,2008-03,7.3,17.7,-1.3,103.9,156
90,속초,2008-04,13.1,29.5,4.9,13.5,210.8
90,속초,2008-05,16.8,29.8,6.7,70,205.1
90,속초,2008-06,18.7,31.2,11.4,91.3,174.1
90,속초,2008-07,25.3,34.7,16.9,361.6,154
90,속초,2008-08,23.4,33,15.5,343.1,188.7
90,속초,2008-09,20.7,29.8,9.7,129.9,196.3
90,속초,2008-10,16.8,28.8,5,73.5,208.6
90,속초,2008-11,9.1,22.3,-5.2,78.5,169.7
90,속초,2008-12,3.6,14.5,-10.9,78,183.8
90,속초,2009-01,.2,10.5,-10,29,212.6
90,속초,2009-02,4.5,12.8,-7.1,27,139.6
90,속초,2009-03,7,25.7,-3,83.2,181.8
90,속초,2009-04,12.8,29.3,1.9,111.2,237.6
90,속초,2009-05,17.7,30.3,9.6,50.5,226.5
90,속초,2009-06,20.2,32.4,12.8,181.1,169.2
90,속초,2009-07,21.7,32,15.7,405.2,133.9
90,속초,2009-08,23.1,32.1,14.7,247.3,148.2
90,속초,2009-09,20,29,13.9,20.5,187.8
90,속초,2009-10,16.3,26.2,7.6,29.8,230.7
90,속초,2009-11,8.2,23.2,-3.7,220.6,135.8
90,속초,2009-12,2,11.3,-9.6,14.7,181.5
90,속초,2010-01,-.4,12.6,-11.6,41.5,194.1
90,속초,2010-02,1.5,14.2,-8.7,113.5,134.1
90,속초,2010-03,3.7,13.2,-2.2,152.1,122.5
90,속초,2010-04,9.1,20.3,.4,51.6,186.3
90,속초,2010-05,16,30.9,5,149.5,206.6
90,속초,2010-06,20.1,29.2,6.6,18,245.9
90,속초,2010-07,25,35.1,18.1,92.8,132.8
90,속초,2010-08,25.7,35.1,19.6,274.4,112.4
90,속초,2010-09,20.4,31.1,9.5,272,138.3
90,속초,2010-10,14.9,24.4,2.4,86.5,178.3
90,속초,2010-11,9.1,21.1,-1.9,12,222.9
90,속초,2010-12,2.8,17.7,-10.7,19.7,191.5
90,속초,2011-01,-2.7,6.3,-13.2,12,234
90,속초,2011-02,2.1,15.1,-9,105.6,150.8
90,속초,2011-03,5.3,18.7,-5.9,20.4,226.8
90,속초,2011-04,11.4,24.6,.9,115.7,207.6
90,속초,2011-05,14.3,26.6,6.4,65.3,133
90,속초,2011-06,20.2,35.3,11.5,341.5,199.1
90,속초,2011-07,22.3,30.7,17.7,412.1,77.4
90,속초,2011-08,24.8,35.7,18.7,140.3,136.6
90,속초,2011-09,20.4,29,12.3,190.1,169.3
90,속초,2011-10,14.9,26.4,4.6,22.1,203.2
90,속초,2011-11,11,19.3,-.5,131.3,118.7
90,속초,2011-12,1.3,9.7,-8.7,99.7,186.7
90,속초,2012-01,-.4,6.4,-8.9,24.2,186
90,속초,2012-02,.1,11,-14.3,22.7,214.1
90,속초,2012-03,5.3,19.4,-4.3,85.3,176.8
90,속초,2012-04,12.1,24.3,.5,133,199
90,속초,2012-05,16.4,27.8,9.6,46.1,172.7
90,속초,2012-06,19.8,29,13.6,76.2,126.2
90,속초,2012-07,23.9,34.7,17.2,244.3,153.5
90,속초,2012-08,24.4,31.3,18.1,212.5,82.1
90,속초,2012-09,19.6,29.3,11.7,233.5,168.9
90,속초,2012-10,15.8,24,6.2,25.6,241.2
90,속초,2012-11,7.6,16.9,-1.7,70.1,191.1
90,속초,2012-12,-.5,11.2,-11.8,44.2,189.4
90,속초,2013-01,-.8,10,-11.5,77.3,187.5
90,속초,2013-02,1.3,13.5,-14.1,16.1,207.8
90,속초,2013-03,6.3,18.8,-6.1,66.2,227.1
90,속초,2013-04,10.3,22.1,2,49,213.6
90,속초,2013-05,16.9,29,7,80.1,243.9
90,속초,2013-06,20.4,29.4,12.8,32,152.1
90,속초,2013-07,25.6,33.6,19.6,292.7,161.7
90,속초,2013-08,27.4,35.8,18.1,174.6,232.5
90,속초,2013-09,20.3,29.2,11.3,175.3,161.9
90,속초,2013-10,15.7,26,7.2,66.4,224.1
90,속초,2013-11,8.4,19.9,-4,23.3,223
90,속초,2013-12,2.7,13,-6.6,62.7,204.1
90,속초,2014-01,1.9,12.6,-8.8,29.3,200.9
90,속초,2014-02,1,16.7,-7.9,168.2,110.5
90,속초,2014-03,7.9,26.9,-4.2,40.4,213.9
90,속초,2014-04,13.3,27,.7,98.8,218.6
90,속초,2014-05,18.1,32.5,8.1,25,275.9
90,속초,2014-06,19.9,32.8,13.7,41.9,149.9
90,속초,2014-07,25.1,34.6,16.9,126.9,251.3
90,속초,2014-08,23.5,33.3,15.6,296.1,160.2
90,속초,2014-09,20.6,31,12.7,181,194.8
90,속초,2014-10,15.8,24.6,6.6,39.6,212.6
90,속초,2014-11,10.2,19.5,-1.9,51.6,173.4
90,속초,2014-12,.6,11.7,-10.8,.2,224
90,속초,2015-01,1.8,12.2,-7.9,8.7,185.6
90,속초,2015-02,2.4,14.5,-10.4,32.1,189.3
90,속초,2015-03,6.6,21.4,-5,8,275.9
90,속초,2015-04,11.1,29.8,1.2,74.2,185.4
90,속초,2015-05,17.8,32.6,7.8,9.2,298.6
90,속초,2015-06,19.5,30.1,12.7,127.7,191
90,속초,2015-07,22.7,35.4,14.8,163.1,171.2
90,속초,2015-08,24.2,33,16.1,198.6,193.5
90,속초,2015-09,19.1,27.1,12.5,13.5,219
90,속초,2015-10,14.7,26.2,1,27.4,240.6
90,속초,2015-11,8.4,21.7,-3.2,463.5,98.6
90,속초,2015-12,3,10.9,-7.2,1.7,164.9
90,속초,2016-01,-1.2,11.5,-16.4,6.6,191.1
90,속초,2016-02,.8,10.3,-9.4,38.3,197.6
90,속초,2016-03,7,21.5,-7.6,31.8,209.6
90,속초,2016-04,12.6,29.3,3.6,77.5,222.9
90,속초,2016-05,17.2,29,7.3,35.7,261.1
90,속초,2016-06,20.6,30.5,12.6,62.2,175.3
90,속초,2016-07,22.9,31.9,17,477.8,119.2
90,속초,2016-08,25.5,35.9,15.3,186.9,220.7
90,속초,2016-09,20.4,28.6,13.2,126,130
90,속초,2016-10,15.3,24.2,3.3,128.5,140.8
90,속초,2016-11,8.4,20.8,-2.5,40.8,172.2
90,속초,2016-12,4.4,14.1,-6.1,121.7,164.8
90,속초,2017-01,.8,11.3,-11.2,82.4,215.4
90,속초,2017-02,3,14.7,-8.2,3.2,222.2
90,속초,2017-03,7,18.5,-2.8,48.7,199.8
90,속초,2017-04,14.8,30.8,2.6,46.8,255.2
90,속초,2017-05,18.7,34.3,9.3,25.2,272.3
90,속초,2017-06,19.8,29.7,9.9,69.7,204.7
90,속초,2017-07,25.6,34.9,18.9,270.3,165.4
90,속초,2017-08,23.7,32.4,16.4,424.9,107.2
90,속초,2017-09,20.8,28.4,13.1,50.5,249.2
90,속초,2017-10,14.5,25,4,135.4,157.7
90,속초,2017-11,7.8,20.4,-4,41.2,218.5
90,속초,2017-12,.7,11.4,-9.9,9.9,230.3
90,속초,2018-01,-1.4,11.9,-16.2,3.9,214.7
90,속초,2018-02,-.5,10.5,-13.2,54.4,218.5
90,속초,2018-03,8,24.7,-6.2,55,171.2
90,속초,2018-04,13,32.5,2,141.7,227.6
90,속초,2018-05,15.9,29.4,4.5,123.6,186.4
90,속초,2018-06,21.3,33.9,13.2,46.5,208.8
90,속초,2018-07,25,35.4,14.8,185.4,209.3
90,속초,2018-08,25.6,38.7,17.2,625,185.3
90,속초,2018-09,20,29,12.6,66.1,196.1
90,속초,2018-10,13.5,23.8,.3,257.6,229.5
90,속초,2018-11,9.2,19.2,-1.9,207.4,165.7
90,속초,2018-12,1.6,12.7,-11.4,10.4,208
90,속초,2019-01,1.7,12.8,-9,8.7,232.1
90,속초,2019-02,2.5,15.7,-7.3,27.6,215.2
90,속초,2019-03,8.2,21.6,-1.4,44.4,233.1
90,속초,2019-04,11.9,25.9,1.3,80.9,230.5
90,속초,2019-05,19.8,34.2,6.5,5.7,296.2
90,속초,2019-06,20,30.2,11.5,97.8,224.8
90,속초,2019-07,24.7,36.1,17.7,234.4,196
90,속초,2019-08,25.7,35.6,19.3,293.5,230.7
90,속초,2019-09,20.9,32.3,11.6,209.9,145.2
90,속초,2019-10,16.1,25,6.5,185.5,157.7
90,속초,2019-11,9.4,21.1,-1.2,157.3,186.9
90,속초,2019-12,4.2,14.4,-7.1,9.8,194.7
90,속초,2020-01,3.4,11.2,-4.1,148.1,163.3
90,속초,2020-02,4.1,16.1,-8.2,55.8,194.1
90,속초,2020-03,7.9,19.3,-1.8,38,263.7
90,속초,2020-04,11.3,24.5,.9,38.4,256
90,속초,2020-05,17.1,32.4,7.8,245.1,218.5
90,속초,2020-06,22.2,33.2,13.9,271.9,238.7
90,속초,2020-07,21.6,33.3,15.6,374.7,168.5
90,속초,2020-08,25.7,35.1,19.6,411.3,128.4
90,속초,2020-09,20.1,28.7,12.1,482.8,152.5
90,속초,2020-10,14.3,23.7,4.6,0,231.3
90,속초,2020-11,10,23.1,-2.1,19.2,204.5
90,속초,2020-12,1.8,11.2,-11.3,.5,228.4
90,속초,2021-01,-1.2,9.7,-16.1,0,200.4
90,속초,2021-02,3.1,17.8,-10.1,5,214.2
90,속초,2021-03,8,18.9,-4.5,104.2,209
90,속초,2021-04,12.3,23.8,2,97.2,228.4
90,속초,2021-05,16.7,29.8,7.6,154.9,239.6
90,속초,2021-06,20.3,30,12.9,43.8,185.7
90,속초,2021-07,25.5,33.2,18.1,104.1,270
90,속초,2021-08,24.4,33.8,17.1,247.1,133
90,속초,2021-09,20.9,28.8,14.6,141.6,195.8
90,속초,2021-10,15.5,27.5,2.2,216.9,174
90,속초,2021-11,9.9,20.1,-1.8,16.2,208.2
90,속초,2021-12,2.8,13.9,-14.9,68.7,219.8
90,속초,2022-01,-.6,7.8,-9.8,3.6,227.2
90,속초,2022-02,.3,12.7,-10.9,11.1,243.8
90,속초,2022-03,7.1,21,-2,114.5,189.4
90,속초,2022-04,14.2,29.8,1.8,33.5,269
90,속초,2022-05,18.5,33.5,5.8,9.1,312.7
90,속초,2022-06,20.9,34.6,10.1,248.7,169.6
90,속초,2022-07,24.3,33.4,18.8,213.1,135.5
90,속초,2022-08,24.6,35.5,15.8,323.7,151.1
90,속초,2022-09,20.3,29.2,10.9,263.8,203.7
90,속초,2022-10,13.9,29.9,4.8,377.1,153.8
90,속초,2022-11,11,22.3,-4.6,38.4,198.8
90,속초,2022-12,-.2,11.6,-12.5,.7,233.5
90,속초,2023-01,.2,15.1,-16,94.7,215.7
90,속초,2023-02,2.7,15.6,-6.4,43.4,186.6
90,속초,2023-03,9.3,25.4,-1.7,10.1,224
90,속초,2023-04,12.6,26.9,4,57,212.2
90,속초,2023-05,17,34.4,5.5,81,232.6
90,속초,2023-06,21.9,34.3,13.3,200.1,244.9
90,속초,2023-07,25.8,35.1,19.6,108.2,184.5
90,속초,2023-08,24.7,36.6,19.1,669.6,121.9
90,속초,2023-09,21.7,30.6,13.6,208.2,156.6
90,속초,2023-10,16.4,25.5,6.3,31.4,218.1
90,속초,2023-11,8.8,27.5,-6,60.1,208.7
90,속초,2023-12,2.3,19,-13.2,205,174
90,속초,2024-01,.6,11.1,-12.3,11.6,203.4
90,속초,2024-02,1.9,18.1,-5.6,125.7,109.7
90,속초,2024-03,5.7,20.6,-7.4,58.6,212.9
90,속초,2024-04,13.9,27.1,2.1,63.4,195.2
90,속초,2024-05,17.8,33.2,6.5,63.4,253.2
90,속초,2024-06,22.3,34.2,11.2,133.8,279.7
90,속초,2024-07,26.8,36.5,19.2,109.3,150.5
90,속초,2024-08,27.6,36.6,20.7,46.4,229
90,속초,2024-09,22.1,31.3,13.4,457.9,114.2
90,속초,2024-10,16.1,25,8.1,143.2,131.8
90,속초,2024-11,10.8,21.8,-.9,17.6,169
90,속초,2024-12,3.1,15.5,-5.2,3.2,222.3
90,속초,2025-01,1.2,10.6,-11.5,14.5,201.8
93,북춘천,2016-10,14.1,29,-1.9,112.1,185.3
93,북춘천,2016-11,5.1,19.5,-9.1,13.2,147.4
93,북춘천,2016-12,-.2,10.2,-12.1,83.1,142.3
93,북춘천,2017-01,-3.4,11.6,-17,15.9,204.2
93,북춘천,2017-02,-1.5,12.2,-15.7,11,214.9
93,북춘천,2017-03,4.6,19,-8.3,17.9,212.4
93,북춘천,2017-04,13.2,29.1,-.8,54.1,257.3
93,북춘천,2017-05,18.6,30.7,6.7,25.5,280.1
93,북춘천,2017-06,22.3,35,9.2,38.1,271.2
93,북춘천,2017-07,26.3,34.9,19.4,477.8,126.4
93,북춘천,2017-08,24.4,37.5,13.9,376.3,150.3
93,북춘천,2017-09,19.1,30.5,4.9,33.8,220.3
93,북춘천,2017-10,13.5,26.9,-3.7,42.6,196.9
93,북춘천,2017-11,3.2,18.8,-10.2,15.9,185.3
93,북춘천,2017-12,-4.3,8.6,-19,24.5,183.8
93,북춘천,2018-01,-6,8.6,-21.7,6.5,203
93,북춘천,2018-02,-3.4,10.4,-19.2,33,214.2
93,북춘천,2018-03,7,23.4,-8.2,32,204.3
93,북춘천,2018-04,12,29.2,-3,117.2,218.7
93,북춘천,2018-05,17.2,31,2.9,200.5,233.2
93,북춘천,2018-06,22.6,34.5,11.9,88.6,252.8
93,북춘천,2018-07,26.3,37.6,13.7,189.7,243.9
93,북춘천,2018-08,26.9,40.6,15.8,354.6,223
93,북춘천,2018-09,19.1,29.5,6.5,63,205.5
93,북춘천,2018-10,10.3,25,-2.5,102.6,200.3
93,북춘천,2018-11,5.1,19.3,-7.3,56.9,148.2
93,북춘천,2018-12,-3.2,12,-16.9,17.3,194.9
93,북춘천,2019-01,-3.9,8.3,-15.1,.2,228.9
93,북춘천,2019-02,-.6,13.4,-13.6,27.5,201.8
93,북춘천,2019-03,5,18.3,-7.3,30.9,199.4
93,북춘천,2019-04,10.6,28.3,-5.1,49.7,205.8
93,북춘천,2019-05,18.3,33.3,2.6,31.4,298.6
93,북춘천,2019-06,21.4,33.1,9.9,88.7,235
93,북춘천,2019-07,25,36.2,14.8,252.2,140.5
93,북춘천,2019-08,25.6,36.5,16.1,186.6,220.9
93,북춘천,2019-09,20.7,31.6,10.7,147.9,138.1
93,북춘천,2019-10,14,29.9,.2,48.4,189.2
93,북춘천,2019-11,4.9,20.3,-7.5,57.8,167.3
93,북춘천,2019-12,-.7,10.5,-13.4,10.5,143.2
93,북춘천,2020-01,-.7,10.9,-10.6,55.9,187.4
93,북춘천,2020-02,.7,15.5,-14.8,35.3,183.5
93,북춘천,2020-03,6.1,21,-6.6,13.7,238.5
93,북춘천,2020-04,9.7,24.6,-4.5,17,257.6
93,북춘천,2020-05,17.4,29.8,5.4,122.2,193.7
93,북춘천,2020-06,23.5,35.8,13.6,79.1,225.2
93,북춘천,2020-07,23.3,32.7,16.1,183.6,140.4
93,북춘천,2020-08,25.6,35.4,20.3,821.2,92.3
93,북춘천,2020-09,19,30,8.2,153.1,162.6
93,북춘천,2020-10,10.9,23.7,-2.7,.3,221.5
93,북춘천,2020-11,5.3,19.4,-8.3,75.2,181.1
93,북춘천,2020-12,-3.6,9.9,-18.5,4.8,197.9
93,북춘천,2021-01,-5.7,11.5,-22.5,14.3,181.6
93,북춘천,2021-02,.4,19.7,-14.2,5.6,210.7
93,북춘천,2021-03,7.1,22.8,-4.7,100.1,217.1
93,북춘천,2021-04,12.4,29.2,-.1,110.2,225.5
93,북춘천,2021-05,15.6,30.6,3.1,159.3,190.3
93,북춘천,2021-06,21.6,32.3,12.4,128.1,186.6
93,북춘천,2021-07,26.7,36.6,18.5,202,251.7
93,북춘천,2021-08,24.3,34.4,15.7,122.5,154
93,북춘천,2021-09,20.7,29.7,13.2,103.7,188.6
93,북춘천,2021-10,13.1,28.2,-2,64.4,160.2
93,북춘천,2021-11,5.3,21,-6.6,49.8,163.1
93,북춘천,2021-12,-2.2,11.4,-17.2,5.2,173.8
93,북춘천,2022-01,-5.1,7.8,-16.6,1.9,219.2
93,북춘천,2022-02,-3.5,10.7,-15.8,6.3,224.1
93,북춘천,2022-03,5.7,18.5,-7.6,88.3,195.6
93,북춘천,2022-04,13,29.8,-1.9,27.7,264.2
93,북춘천,2022-05,17.2,30.7,2.4,8.1,281.3
93,북춘천,2022-06,21.9,34.2,9.2,386.5,142.7
93,북춘천,2022-07,26,35.8,19.6,223.8,174.6
93,북춘천,2022-08,24.5,33,12.1,418.4,121.9
93,북춘천,2022-09,19.8,30.8,6.8,239,207
93,북춘천,2022-10,11.8,25.7,-.6,116.1,186.3
93,북춘천,2022-11,6.5,20.6,-8.1,64,175.7
93,북춘천,2022-12,-6.1,8.1,-18.5,10.7,190.6
93,북춘천,2023-01,-5.2,9.2,-21.7,43.8,183.1
93,북춘천,2023-02,-.5,12.8,-11.7,1.1,216.2
93,북춘천,2023-03,7.4,25,-6.9,8.4,272.6
93,북춘천,2023-04,12.1,27.8,-2.2,95.7,208.2
93,북춘천,2023-05,17.7,31.4,2.3,112.4,281.4
93,북춘천,2023-06,22.4,33.7,12.3,280.7,235
93,북춘천,2023-07,26,34.8,17.9,318.1,192.9
93,북춘천,2023-08,26.1,35.2,18.9,203.6,202.8
93,북춘천,2023-09,21.8,32.4,11.5,119.5,183.5
93,북춘천,2023-10,12.3,23.5,-.2,25.9,195.9
93,북춘천,2023-11,4.6,25.9,-9.7,80.3,181.9
93,북춘천,2023-12,-1.6,16.9,-16.9,77.3,164.6
93,북춘천,2024-01,-2.8,10,-16.6,8.9,189.9
93,북춘천,2024-02,1.8,17.3,-8.2,45,142.7
93,북춘천,2024-03,4.9,22.5,-11.3,40.9,219.4
93,북춘천,2024-04,14.7,30.6,0,27.6,235.5
93,북춘천,2024-05,17.2,29.3,4.9,126.9,260.6
93,북춘천,2024-06,23.3,36.1,9.9,124.5,299.6
93,북춘천,2024-07,25.9,34.1,20.5,411.1,149.1
93,북춘천,2024-08,28,36.2,18.5,92.7,257.3
93,북춘천,2024-09,23.2,35.4,10.4,184.9,191.8
93,북춘천,2024-10,14,24.7,3.9,68.5,165.7
93,북춘천,2024-11,7.1,23,-6.5,27.7,201.3
93,북춘천,2024-12,-2.4,11.9,-14,3.6,209.7
93,북춘천,2025-01,-4.4,8.8,-19.2,16.6,174.6
95,철원,2005-01,-6.2,7.2,-17.7,3.7,204.7
95,철원,2005-02,-5.4,10,-18.1,31.8,182.1
95,철원,2005-03,1.8,16.7,-11.9,11.8,215.3
95,철원,2005-04,10.9,26.7,-2.8,92.6,200.8
95,철원,2005-05,15.4,29,2.6,95.9,229.8
95,철원,2005-06,21.3,30.9,9.5,158,144
95,철원,2005-07,23.5,33.8,15.9,276.2,108.9
95,철원,2005-08,23,33.1,13,331.6,116.9
95,철원,2005-09,19.3,29.7,10.6,236.7,137.2
95,철원,2005-10,11.3,23.4,-3,13.3,196.7
95,철원,2005-11,4.5,21.7,-8.5,63.2,169.6
95,철원,2005-12,-7.5,5.5,-20.1,8.4,208.9
95,철원,2006-01,-4,7.6,-19.3,31.8,165.4
95,철원,2006-02,-2.2,11.5,-18.3,12,173.8
95,철원,2006-03,2.5,15.9,-10.8,19.7,170.2
95,철원,2006-04,9.4,21.6,-.1,85.1,127.3
95,철원,2006-05,16.5,28.4,3.3,139,187.5
95,철원,2006-06,20.2,31.5,12,196.5,154.7
95,철원,2006-07,22.1,29.9,16.3,638.6,55.8
95,철원,2006-08,25.1,33.9,17.9,54.5,190.2
95,철원,2006-09,18.1,29.4,5.8,27.8,199
95,철원,2006-10,14.7,27.2,.8,61.5,169.9
95,철원,2006-11,5.4,19.6,-5.7,21.6,158.6
95,철원,2006-12,-2.5,12.1,-17.3,9.9,156.9
95,철원,2007-01,-3.6,8.6,-16.9,8.5,181.7
95,철원,2007-02,.5,15.2,-15.6,5,181.3
95,철원,2007-03,3.9,16.4,-11.2,87.7,152.9
95,철원,2007-04,9.6,23.3,-3.2,61.5,190.1
95,철원,2007-05,16.6,28.8,4.8,165.5,200.7
95,철원,2007-06,21.8,33.9,9.6,105.2,210.2
95,철원,2007-07,22.7,30.3,16.2,279.8,136.5
95,철원,2007-08,24.6,32.1,14.8,493,115.7
95,철원,2007-09,19.9,30.7,10.3,243.2,88.2
95,철원,2007-10,12.2,26.6,-2,31.1,169.2
95,철원,2007-11,3,19.1,-10.6,14.7,174.6
95,철원,2007-12,-2.4,12,-13.1,12.7,127
95,철원,2008-01,-5.4,5.5,-19.1,6.1,163.9
95,철원,2008-02,-4.7,9.3,-18.7,7.7,223.8
95,철원,2008-03,4.5,19.1,-7.3,59.5,166.9
95,철원,2008-04,11.9,28.4,-2.2,37.9,200
95,철원,2008-05,16.1,28.9,4.2,89.3,190.6
95,철원,2008-06,20,30.1,9,117.8,185.1
95,철원,2008-07,24.1,33.3,18.7,650.3,81.3
95,철원,2008-08,23.6,35.1,12.7,328.4,226.9
95,철원,2008-09,19.1,30.7,4.4,114.3,191.5
95,철원,2008-10,13.2,28.2,-1.1,34.1,184
95,철원,2008-11,4.3,18.8,-11.3,23.6,146
95,철원,2008-12,-1.7,12.1,-15.5,35.9,148.7
95,철원,2009-01,-5.7,9.9,-19,2.4,207.3
95,철원,2009-02,.5,15.3,-13.6,49.1,134.6
95,철원,2009-03,4,21.9,-7.7,47.9,172.1
95,철원,2009-04,10.4,27.4,-3.8,78.3,189.8
95,철원,2009-05,17.3,30.5,4.4,99.9,225.5
95,철원,2009-06,20.5,30.3,10,203.1,172.9
95,철원,2009-07,22.8,31.2,14.9,539.3,152.7
95,철원,2009-08,23.5,33.2,11.8,432.1,175
95,철원,2009-09,18.7,28.7,8.8,17.5,201.5
95,철원,2009-10,12.5,25.8,-.6,71.1,196.5
95,철원,2009-11,4.3,20,-10.1,34.9,110.8
95,철원,2009-12,-3.9,9.2,-19.8,23.5,136.7
95,철원,2010-01,-8.2,7,-26.8,29.4,167.5
95,철원,2010-02,-1.4,17.2,-15.8,50.8,137.8
95,철원,2010-03,2.5,14.2,-7,61.5,124.7
95,철원,2010-04,7.8,21.4,-4.1,51.7,148.7
95,철원,2010-05,16.2,28.6,1,97.7,178.9
95,철원,2010-06,22.1,32.8,6.1,123.1,207.7
95,철원,2010-07,24.8,32.1,18.2,347.6,88
95,철원,2010-08,25.3,32.9,17.7,574.7,96.1
95,철원,2010-09,19.8,31.1,4.2,461.3,149.4
95,철원,2010-10,11.9,24.1,-5.2,23,176.9
95,철원,2010-11,3.5,16.7,-8.8,21.9,160.5
95,철원,2010-12,-3.6,12.9,-19.5,24.8,139.9
95,철원,2011-01,-11.5,3.6,-24.3,8.1,223.2
95,철원,2011-02,-1.6,13.3,-14.5,26.3,173.1
95,철원,2011-03,2.1,18.1,-10.3,12.7,233.4
95,철원,2011-04,9.1,20.6,-2.7,86.7,182.4
95,철원,2011-05,16.7,30,5.3,102.1,191.6
95,철원,2011-06,21.3,33.2,12.3,299.5,188.3
95,철원,2011-07,24,32.3,17,738.5,87.5
