瘤痢,斥档,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公
,,惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚)
碍釜,2005,2005-03-17, ,2005-04-07, , , 
碍釜,2006,2006-03-20, ,2006-04-03, , , 
碍釜,2007,2007-03-09, ,2007-03-29, , , 
碍釜,2008,2008-03-19, ,2008-04-03, , , 
措包飞,2005,2005-04-21,-4老,2005-04-29,-6老, , 
措包飞,2006,2006-05-05,10老,2006-05-12,7老, , 
措包飞,2007,2007-04-24,-1老,2007-05-08,3老, , 
措包飞,2008,2008-04-30,5老,2008-05-05,0老, , 
措包飞,2009,2009-04-16,-9老,2009-04-25,-10老, , 
措包飞,2010,2010-05-03,8老,2010-05-13,8老, , 
措包飞,2011,2011-05-03,8老,2011-05-13,8老, , 
措包飞,2012,2012-04-15,-10老,2012-05-03,-2老, , 
措包飞,2013,2013-05-04,9老,2013-05-13,8老, , 
措包飞,2014,2014-04-23,-2老,2014-04-30,-5老, , 
措包飞,2015,2015-04-22,-3老,2015-04-30,-5老, , 
悼秦,2005,2005-03-20,-3老,2005-04-08,3老, , 
悼秦,2006,2006-03-20,-3老,2006-04-03,-2老, , 
悼秦,2007,2007-03-13,-10老,2007-03-31,-5老, , 
悼秦,2008,2008-03-15,-8老,2008-04-03,-2老, , 
悼秦,2009,2009-03-19,-4老,2009-03-30,-6老, , 
悼秦,2010,2010-03-30,7老,2010-04-17,12老, , 
悼秦,2011,2011-04-01,9老,2011-04-10,5老, , 
悼秦,2012,2012-04-03,11老,2012-04-12,7老, , 
悼秦,2013,2013-04-02,10老,2013-04-09,4老, , 
悼秦,2014,2014-03-27,4老,2014-04-02,-3老, , 
悼秦,2015,2015-03-24,1老,2015-03-31,-5老,2015-04-06, 
合碍釜,2009,2009-03-20,-4老,2009-04-04,0老, , 
合碍釜,2010,2010-04-01,8老,2010-04-18,14老, , 
合碍釜,2011,2011-03-28,4老,2011-04-11,7老, , 
合碍釜,2012,2012-04-06,13老,2012-04-13,9老, , 
合碍釜,2013,2013-03-24,0老,2013-04-09,5老, , 
合碍釜,2014,2014-03-27,3老,2014-04-02,-2老, , 
合碍釜,2015,2015-03-20,-4老,2015-04-03,-1老,2015-04-08,1老
合碍釜,2016,2016-03-19,-5老,2016-04-04,0老,2016-04-06,-1老
合碍釜,2017,2017-03-19,-5老,2017-04-03,-1老,2017-04-04,-3老
合碍釜,2018,2018-03-22,-2老,2018-03-31,-4老,2018-04-02,-5老
合碍釜,2019,2019-03-20,-4老,2019-03-31,-4老,2019-04-04,-3老
合碍釜,2020,2020-03-21,-3老,2020-03-26,-9老,2020-03-30,-8老
合碍釜,2021,2021-03-19,-5老,2021-03-28,-7老,2021-03-31,-7老
合碍釜,2022,2022-03-27,3老,2022-04-06,2老,2022-04-10,3老
合碍釜,2023,2023-03-09,-15老,2023-03-26,-9老,2023-03-29,-9老
合碍釜,2024,2024-03-08,-16老,2024-04-05,1老,2024-04-09,2老
合碍釜,2025,2025-03-15,-9老,2025-04-01,-3老,2025-04-06,-1老
合冕玫,2017,2017-04-03,1老,2017-04-11,0老,2017-04-13,1老
合冕玫,2018,2018-04-01,-1老,2018-04-06,-5老,2018-04-08,-4老
合冕玫,2019,2019-04-02,0老,2019-04-07,-4老,2019-04-14,2老
合冕玫,2020,2020-03-30,-3老,2020-04-01,-10老,2020-04-05,-7老
合冕玫,2021,2021-03-26,-7老,2021-04-01,-10老,2021-04-05,-7老
合冕玫,2022,2022-04-01,-1老,2022-04-11,0老,2022-04-12,0老
合冕玫,2023,2023-03-27,-6老,2023-04-01,-10老,2023-04-03,-9老
合冕玫,2024,2024-03-25,-8老,2024-04-03,-8老,2024-04-08,-4老
合冕玫,2025,2025-03-23,-10老,2025-04-08,-3老,2025-04-13,1老
加檬,2005,2005-03-25,-2老,2005-04-11,3老, , 
加檬,2006,2006-03-25,-2老,2006-04-07,-1老, , 
加檬,2007,2007-03-06,-21老,2007-04-02,-6老, , 
加檬,2008,2008-03-21,-6老,2008-04-06,-2老, , 
加檬,2009,2009-03-19,-8老,2009-04-06,-2老, , 
加檬,2010,2010-04-01,5老,2010-04-23,15老, , 
加檬,2011,2011-03-29,2老,2011-04-12,4老, , 
加檬,2012,2012-04-09,13老,2012-04-16,8老, , 
加檬,2013,2013-03-22,-5老,2013-04-12,4老, , 
加檬,2014,2014-03-24,-3老,2014-04-01,-7老, , 
加檬,2015,2015-03-25,-2老,2015-04-03,-5老, , 
康岿,2005,2005-04-08,3老,2005-04-11,-3老, , 
康岿,2006,2006-04-07,2老,2006-04-12,-2老, , 
康岿,2007,2007-03-30,-6老,2007-04-12,-2老, , 
康岿,2008,2008-04-01,-4老,2008-04-08,-6老, , 
康岿,2009,2009-04-02,-3老,2009-04-07,-7老, , 
康岿,2010,2010-04-10,5老,2010-04-19,5老, , 
康岿,2011,2011-04-16,11老,2011-04-20,6老, , 
康岿,2012,2012-04-18,13老,2012-04-23,9老, , 
康岿,2013,2013-04-08,3老,2013-04-17,3老, , 
康岿,2014,2014-04-03,-2老,2014-04-08,-6老, , 
康岿,2015,2015-04-03,-2老,2015-04-11,-3老,2015-04-17, 
盔林,2005,2005-04-08,13老,2005-04-12,2老,2005-04-18, 
盔林,2006,2006-04-05,10老,2006-04-12,2老, , 
盔林,2007,2007-03-25,-1老,2007-04-07,-3老, , 
盔林,2008,2008-03-18,-8老,2008-04-09,-1老, , 
盔林,2009,2009-03-18,-8老,2009-04-05,-5老, , 
盔林,2010,2010-03-13,-13老,2010-04-14,4老, , 
盔林,2011,2011-04-01,6老,2011-04-15,5老, , 
盔林,2012,2012-03-31,5老,2012-04-16,6老, , 
盔林,2013,2013-03-29,3老,2013-04-17,7老, , 
盔林,2014,2014-03-27,1老,2014-04-01,-9老, , 
盔林,2015,2015-03-31,5老,2015-04-06,-4老, , 
牢力,2005,2005-04-10,0老,2005-04-16,-1老, , 
牢力,2006,2006-04-11,1老,2006-04-21,4老, , 
牢力,2007,2007-04-18,8老,2007-04-25,8老, , 
牢力,2008,2008-04-17,7老,2008-04-19,2老, , 
枚盔,2005,2005-04-10,3老,2005-04-19,3老, , 
枚盔,2006,2006-04-11,4老,2006-04-21,5老, , 
枚盔,2007,2007-04-06,-1老,2007-04-17,1老, , 
枚盔,2008,2008-04-07,0老,2008-04-11,-5老, , 
枚盔,2009,2009-03-29,-9老,2009-04-11,-5老, , 
枚盔,2010,2010-04-12,5老,2010-04-25,9老, , 
枚盔,2011,2011-04-05,-2老,2011-04-20,4老, , 
枚盔,2012,2012-04-15,8老,2012-04-19,3老, , 
枚盔,2013,2013-04-20,13老,2013-04-24,8老, , 
枚盔,2014,2014-03-30,-8老,2014-04-02,-14老, , 
枚盔,2015,2015-03-30,-8老,2015-04-06,-10老, , 
冕玫,2005,2005-04-01, ,2005-04-13, , , 
冕玫,2006,2006-04-01, ,2006-04-12, , , 
冕玫,2007,2007-04-09, ,2007-04-12, , , 
冕玫,2008,2008-03-30, ,2008-04-08, , , 
冕玫,2009,2009-04-02, ,2009-04-08, , , 
冕玫,2010,2010-04-06, ,2010-04-18, , , 
冕玫,2011,2011-04-02, ,2011-04-14, ,2011-04-20, 
冕玫,2012,2012-04-09, ,2012-04-15, ,2012-04-18, 
冕玫,2013,2013-03-26, ,2013-04-15, , , 
冕玫,2014,2014-03-28, ,2014-03-31, ,2014-04-04, 
冕玫,2015,2015-03-24, ,2015-04-04, ,2015-04-10, 
冕玫,2016,2016-03-27, ,2016-04-05, ,2016-04-07, 
怕归,2005,2005-04-18,1老,2005-04-23,1老, , 
怕归,2006,2006-04-17,0老,2006-04-26,4老, , 
怕归,2007,2007-04-15,-2老,2007-04-23,1老, , 
怕归,2008,2008-04-16,-1老,2008-04-22,0老, , 
全玫,2005,2005-04-09,3老,2005-04-16,1老, , 
全玫,2006,2006-04-10,4老,2006-04-16,1老, , 
全玫,2007,2007-04-09,3老,2007-04-16,1老, , 
全玫,2008,2008-04-02,-4老,2008-04-10,-5老, , 
悼滴玫,2005,2005-04-08,4老,2005-04-17,3老, , 
悼滴玫,2006,2006-04-07,3老,2006-04-11,-3老, , 
悼滴玫,2007,2007-04-03,-1老,2007-04-10,-4老, , 
悼滴玫,2008,2008-04-05,1老,2008-04-12,-2老, , 
悼滴玫,2009,2009-03-28,-7老,2009-04-11,-3老, , 
悼滴玫,2010,2010-04-07,3老,2010-04-23,9老, , 
悼滴玫,2011,2011-04-06,2老,2011-04-25,11老, , 
悼滴玫,2012,2012-04-16,12老,2012-04-20,6老, , 
悼滴玫,2013,2013-04-21,17老,2013-04-27,13老, , 
悼滴玫,2014,2014-04-07,3老,2014-04-09,-5老, , 
悼滴玫,2015,2015-03-27,-8老,2015-04-03,-11老,2015-04-06, 
荐盔,2005,2005-03-30,1老,2005-04-08,0老, , 
荐盔,2006,2006-03-29,0老,2006-04-07,-1老, , 
荐盔,2007,2007-03-19,-10老,2007-04-07,-1老, , 
荐盔,2008,2008-03-27,-2老,2008-04-06,-2老, , 
荐盔,2009,2009-04-02,4老,2009-04-06,-2老, , 
荐盔,2010,2010-03-27,-2老,2010-04-12,4老, , 
荐盔,2011,2011-04-01,3老,2011-04-13,5老, , 
荐盔,2012,2012-04-12,14老,2012-04-16,8老, , 
荐盔,2013,2013-04-07,9老,2013-04-16,8老, , 
荐盔,2014,2014-03-22,-7老,2014-03-29,-10老, , 
荐盔,2015,2015-03-22,-7老,2015-04-04,-4老,2015-04-09,-2老
荐盔,2016,2016-03-25,-4老,2016-04-02,-6老,2016-04-06,-5老
荐盔,2017,2017-03-22,-7老,2017-04-08,0老,2017-04-10,-1老
荐盔,2018,2018-03-22,-7老,2018-04-02,-6老,2018-04-03,-8老
荐盔,2019,2019-03-23,-6老,2019-04-07,-1老,2019-04-10,-1老
荐盔,2020,2020-03-26,-3老,2020-03-31,-8老,2020-04-05,-6老
荐盔,2021,2021-03-24,-5老,2021-03-29,-10老,2021-03-31,-11老
荐盔,2022,2022-03-30,1老,2022-04-11,3老,2022-04-12,1老
荐盔,2023,2023-03-25,-4老,2023-03-30,-9老,2023-04-01,-10老
荐盔,2024,2024-03-31,2老,2024-04-03,-5老,2024-04-10,-1老
荐盔,2025,2025-04-02,4老,2025-04-07,-1老,2025-04-11,0老
剧乞,2005,2005-04-09,7老,2005-04-22,8老, , 
剧乞,2006,2006-04-06,4老,2006-04-19,5老, , 
剧乞,2007,2007-04-02,0老,2007-04-17,3老, , 
剧乞,2008,2008-04-03,1老,2008-04-15,1老, , 
捞玫,2005,2005-03-25,-3老,2005-04-08,0老, , 
捞玫,2006,2006-03-24,-4老,2006-04-07,-1老,2006-04-11, 
捞玫,2007,2007-03-18,-10老,2007-04-01,-7老, , 
捞玫,2008,2008-03-18,-10老,2008-04-05,-3老, , 
捞玫,2009,2009-03-27,-1老,2009-04-02,-6老, , 
捞玫,2010,2010-04-08,11老,2010-04-15,7老, , 
捞玫,2011,2011-04-05,8老,2011-04-15,7老, , 
捞玫,2012,2012-04-05,8老,2012-04-15,7老, , 
捞玫,2013,2013-03-26,-2老,2013-04-14,6老, , 
捞玫,2014,2014-03-24,-4老,2014-04-01,-7老, , 
捞玫,2015,2015-03-27,-1老,2015-04-04,-4老,2015-04-07, 
颇林,2005,2005-04-05,-1老,2005-04-20,5老, , 
颇林,2006,2006-03-28,-9老,2006-04-10,-5老, , 
颇林,2007,2007-04-04,-2老,2007-04-09,-6老, , 
颇林,2008,2008-04-06,0老,2008-04-12,-3老, , 
